run_id,beam_size,img,label_true,context_true,label_generated
20220407_030629,5,70.jpg,"White streaks of light, with bright spots on the right side of them, fill the bottom of the frame. A larger yellow-tinted sphere with a streak is in the center of the frame. The background is black space.","Reentry, December 27, 1968, photographed from a KC-135 Stratotanker at 40,000 feet",A black and white image of a black man in front of a microphone .
20220407_030629,5,82.jpg,"Drawing of the back an anthropomorphic caterpillar, seated on a toadstool amid grass and flowers, blowing smoke from a hookah; a blonde girl in an old-fashioned frock is standing on tiptoe to peer at the caterpillar over the toadstool's edge","Sir John Tenniel's illustration of the Caterpillar for Lewis Carroll's Alice's Adventures in Wonderland is noted for its ambiguous central figure, whose head can be viewed as being a human male's face with a pointed nose and chin, or as being the head end of an actual caterpillar, with the first two right ""true"" legs visible.",A black-and-white drawing of a man holding a spear
20220407_030629,5,83.jpg,An Indian Mughal monument,Taj Mahal in Agra is one among the New7Wonders of the World,A photograph of a large domed building with a tall spire tower in the background
20220407_030629,5,86.jpg,Visualisation of the Gulf Stream stretching from the Gulf of Mexico to Western Europe,As the Gulf Stream meanders across the North Atlantic from the North American east coast to Western Europe its temperature drops by 20C (36F).,A blue and white image of a bright green light blue sky with a small green object in the background .
20220407_030629,5,87.jpg,"Map displaying a looping line with arrows indicating that water flows eastward in the far Southern Ocean, angling northeast of Australia, turning sough-after passing Alaska, then crossing the mid-Pacific to flow north of Australia, continuing west below Africa, then turning northwest until reaching eastern Canada, then angling east to southern Europe, then finally turning south just below Greenland and flowing down the Americas' eastern coast, and resuming its flow eastward to complete the circle","Path of the thermohaline circulation. Purple paths represent deep-water currents, while blue paths represent surface currents.",A map of the city of the United States
20220407_030629,5,88.jpg,"Map showing 5 circles. The first is between western Australia and eastern Africa. The second is between eastern Australia and western South America. The third is between Japan and western North America. Of the two in the Atlantic, one is in hemisphere.",Map of the five major ocean gyres,A map of the oceans
20220407_030629,5,89.jpg,Map of Caribbean showing seven approximately parallel westward-pointing arrows that extend from east of the Virgin Islands to Cuba. The southern arrows bend northward just east of the Dominican Republic before straightening out again.,Waves in the trade winds in the Atlantic Oceanareas of converging winds that move along the same track as the prevailing windcreate instabilities in the atmosphere that may lead to the formation of hurricanes.,A map showing the location of the battle .
20220407_030629,5,139.jpg,An early 1920s image of Hitchcock while directing his film titled Number 13,Hitchcock (right) during the making of Number 13 in London,A black and white photograph of a man in a suit and holding a hand in his right hand .
20220407_030629,5,140.jpg,"An advertisement for the film Blackmail Surrounding text describes the film as ""A Romance of Scotland Yard"" and ""The Powerful Talking Picture""",Advertisement for Blackmail (1929),The cover of the movie Blackmail Surrounding text describes the film as `` A Romance of Scotland Yard '' and `` The Powerful Talking Picture ''
20220407_030629,5,143.jpg,A typical scene from Rope showing James Stewart,A typical shot from Rope (1948) with James Stewart turning his back to the fixed camera,"A man in a suit , standing in front of a table ."
20220407_030629,5,144.jpg,Still image from the film Read Window featuring Stewart and Kelly,James Stewart and Grace Kelly in Rear Window (1954),A woman in a white dress sits on a stage
20220407_030629,5,145.jpg,Still image from the film Vertigo,Kim Novak by the Golden Gate Bridge in Vertigo (1958)[g],A wooden bridge crossing a river
20220407_030629,5,146.jpg,Mosaic image from the film Psycho at Leytonstone tube station,Psycho mosaic in the Hitchcock Gallery at Leytonstone tube station,A man in a red robe sits on a throne in a window .
20220407_030629,5,149.jpg,Image of Hitchcock seated during the filming of Family Plot,"Hitchcock at work on Family Plot, San Francisco, summer 1975",A black and white photograph of two men sitting at a desk .
20220407_030629,5,150.jpg,Still from The Lady Vanishes depicting Hitchcock,Hitchcock's cameo appearance in The Lady Vanishes (1938),A black and white photograph of an elderly man sitting at a desk .
20220407_030629,5,151.jpg,Image of Hitchcock pictured under Mount Rushmore during the filming of North by Northwest,Hitchcock at Mount Rushmore filming North by Northwest (1959),"A man with short dark hair , wearing a dark suit and holding a cigarette in his right hand . A man in a white shirt , is standing and smiling ."
20220407_030629,5,185.jpg,A greyscale photo of the upper body of a man,"Emilio Segr, one of the discoverers of the main-group element astatine",A black and white portrait of a man in a suit .
20220407_030629,5,186.jpg,"a sequence of differently colored balls, each containing a two-letter symbol and some numbers","Neptunium series, showing the decay products, including astatine-217, formed from neptunium-237",A series of concentric circles .
20220407_030629,5,193.jpg,"Ada Byron, portrait at age four","Ada Byron, aged four",A young woman with dark hair
20220407_030629,5,194.jpg,"Ada Byron, portrait at age 7","Ada Byron, aged seven, by Alfred d'Orsay, 1822, Somerville College, Oxford.","A woman with long brown hair , wearing a red outfit ."
20220407_030629,5,195.jpg,"Ada Byron, portrait drawn at age 17","Ada Byron, aged seventeen, 1832",A woman with dark hair wearing a white blouse
20220407_030629,5,196.jpg,"Ada King, Countess of Lovelace. Watercolour portrait circa 1840","Watercolour portrait of Ada King, Countess of Lovelace, circa 1840, possibly by Alfred Edward Chalon",A young woman with long hair
20220407_030629,5,197.jpg,"Ada Lovelace, painted portrait circa 1852","Painting of Lovelace seated at a piano, by Henry Phillips (1852). Although in great pain at the time, she agreed to sit for the painting as her father, Lord Byron, had been painted by Phillips' father, Thomas Phillips.","A man in a white baseball uniform with a dark cap , holding a baseball bat"
20220407_030629,5,198.jpg,"Ada Lovelace, painted portrait circa 1836",Portrait of Ada by British painter Margaret Sarah Carpenter (1836),A man with dark hair wearing a white dress and a white shirt .
20220407_030629,5,199.jpg,Diagram for the computation by the Engine of the Numbers of Bernoulli,"Lovelace's diagram from ""note G"", the first published computer algorithm","A page of a musical score , with several columns in text"
20220407_030629,5,200.jpg,Illustration of Ada Lovelace's portrait in a gold frame,"An illustration inspired by the A. E. Chalon portrait created for the Ada Initiative, which supported open technology and women",The coat of arms of the head of a man wearing a crown
20220407_030629,5,201.jpg,"Plaque to Ada Lovelace that reads ""English Heritage, Ada Countess of Lovelace, 18151852, Pioneer of Computing lived here""","Blue plaque to Ada Lovelace in St. James's Square, London",A plaque reading `` The United States ''
20220407_030629,5,245.jpg,"signing man sitting in the foreground, with a speaker standing at a podium in the background",A sign language interpreter at a presentation,A man sitting on a chair and leaning on a table .
20220407_030629,5,247.jpg,text written in Stokoe notation,"The ASL phrase ""American Sign Language"", written in Stokoe notation",An image of an image of a magazine process .
20220407_030629,5,248.jpg,text written in Sutton SignWriting,"The ASL phrase ""American Sign Language"", written in Sutton SignWriting",A photograph of a placard with the letters `` xxx ''
20220407_030629,5,249.jpg,ASL sign for the number 2,Phonemic handshape /2/[+ closed thumb]:12,A man wearing a red jacket and a red necklace
20220407_030629,5,250.jpg,two men and a woman signing,Two men and a woman signing,A young woman wearing a black and white sweater with a black T-shirt .
20220407_030629,5,251.jpg,"chart of letters in the American manual alphabet, with Latin script equivalents",The American manual alphabet and numbers.,A medieval family of native workers in traditional morning .
20220407_030629,5,380.jpg,Arabic numerals set in Source Sans, Arabic numerals set in Source Sans,A line drawing of a hexagon with two attachments
20220407_030629,5,381.jpg,Shaded relief map of the Juan Fernndez Islands with blue ocean he died on the island background,"Map of the Juan Fernndez Islands, where Selkirk lived as a castaway",Map of India
20220407_030629,5,382.jpg,Engraving of Selkirk sitting in the doorway of a hut reading a Bible,Selkirk reading his Bible in one of two huts he built on a mountainside,A black and white photograph of a wooden building with a small tower in the background
20220407_030629,5,383.jpg,"Selkirk, seated in a ship's boat, being taken aboard Duke.","The rescued Selkirk, seated at right, being taken aboard Duke.",A black and white image of a ship underway
20220407_030629,5,384.jpg,"Engraving of Robinson Crusoe standing on the shore of an island, dressed in hair-covered goatskin clothing",An illustration of Crusoe in goatskin clothing shows the influence of Selkirk,A black and white drawing of a man on a boat
20220407_030629,5,385.jpg,Bronze plaque in memory of Selkirk affixed to a building,"Plaque for Selkirk in Lower Largo, Scotland, which reads: ""In memory of Alexander Selkirk, mariner, the original of Robinson Crusoe who lived on the island of Juan Fernndez in complete solitude for four years and four months. He died 1723 [sic], lieutenant of HMS Weymouth, aged 47 years [sic]. This statue is erected by David Gillies, net manufacturer, on the site of the cottage in which Selkirk was born.""",An image of the front of a brass slab with two ports .
20220407_030629,5,386.jpg,A chemical formula,Interactive animation of the structure of ATP,Photo of a steroid
20220407_030629,5,397.jpg,1813 sketch of Fort Astoria,Gabriel Franchre's 1813 sketch of Fort Astoria.,A sketch of Fort Astoria
20220407_030629,5,398.jpg,An Astoria Salmon cannery., An Astoria Salmon cannery.,A black-and-white drawing of a large ship with a small ship
20220407_030629,5,399.jpg,Port of Astoria,The Port of Astoria (2009).,A red and white building with a metal fence and several skyscrapers behind it .
20220407_030629,5,400.jpg,AstoriaMegler Bridge,The AstoriaMegler Bridge.,"A view of the Brooklyn Bridge , with seen in the distance"
20220407_030629,5,401.jpg,Astoria Column,The Astoria Column.,A column with a statue
20220407_030629,5,402.jpg,Astoria aerial from Youngs Bay,An aerial view of the city,A view of Lake port at night .
20220407_030629,5,403.jpg,old Clatsop County Jail,"The old Clatsop County Jail, used in the first scene of the film The Goonies. The site is now home to the Oregon Film Museum.",Photo of a building with a large front porch . The door on the left is a dark blue and white building .
20220407_030629,5,500.jpg,"Ptolemy's Tetrabiblos, the Hellenistic text that founded Western astrology","1484 copy of first page of Ptolemy's Tetrabiblos, translated into Latin by Plato of Tivoli",A medieval manuscript
20220407_030629,5,501.jpg,Image of a Latin astrological text,"Latin translation of Ab Mashar's De Magnis Coniunctionibus ('Of the great conjunctions'), Venice, 1515",A photograph of the front cover of the book
20220407_030629,5,550.jpg,AGM-65 M-48 pre impact.jpg,An AGM-65 test-fired against an M48 tank (1978),A black and white image of a naval battle
20220407_030629,5,582.jpg,Thracian golden wreath exhibited in the National Historical Museum,Odrysian golden wreath in the National History Museum,"A black and white image of a person 's head with arms folded , and a large crown in the center , surrounded by a white background ."
20220407_030629,5,583.jpg,Krum feasts with nobles,Krum feasts with nobles of his court following the victory over Nicephorus I,A colourful image of a bearded man and a woman in a boat
20220407_030629,5,584.jpg,A view of the walls of Tsarevets fortress in Tarnovo,"The walls of Tsarevets fortress in Veliko Tarnovo, the capital of the second empire",A castle built of stone ruins
20220407_030629,5,585.jpg,"The Defence of the Eagle's Nest, painting by Alexey Popov from 1893, depicting the Defence of Shipka Pass",The Russo-Bulgarian defence of Shipka Pass in 1877,Map of the Battle of Waterloo
20220407_030629,5,586.jpg,Map of Bulgaria according to the Treaty of San Stefano,Borders of Bulgaria according to the preliminary Treaty of San Stefano,A map of the western Mediterranean region showing the territory controlled by Rome and Carthage in 218 BC
20220407_030629,5,587.jpg,A portrait of Tsar Boris III,Tsar Boris III,Photo of a man in military uniform
20220407_030629,5,588.jpg,Topographic map of Bulgaria,Topography of Bulgaria,A topographic map of Bulgaria
20220407_030629,5,589.jpg,"A Lacerta viridis, or European green lizard, on a tree stump in the Ropotamo reserve","Lacerta viridis in Ropotamo, one of Bulgaria's 16 biosphere reserves",A close-up of a green leaf with two large green leaves .
20220407_030629,5,590.jpg,The National Assembly building in Sofia,"Independence Square in Sofia: The headquarters of the Presidency (right), the National Assembly (centre) and the Council of Ministers (left).",A view of the Grand Central Station
20220407_030629,5,591.jpg,Portrait of president Rumen Radev,Rumen RadevPresident,A man in a suit and tie .
20220407_030629,5,592.jpg,Bulgarian MiG-29 fighters in flight,Mikoyan MiG-29 jet fighters of the Bulgarian Air Force,A single-engined military jet aircraft in flight
20220407_030629,5,594.jpg,Economic complexity chart showing the various kinds of Bulgarian exports,Tree-map of Bulgarian exports in 2016,Map of exports in 2012
20220407_030629,5,595.jpg,A SpaceX Falcon 9 rocket launching BulgariaSat-1 in June 2017,The launch of BulgariaSat-1 by SpaceX,Map of the launch pad of the rocket launch
20220407_030629,5,596.jpg,"Trakiya motorway, one of the main national motorways",Trakia motorway,A four-lane divided highway with a grassy median surrounded by farms and woods
20220407_030629,5,597.jpg,Population graph,Population trend since 1960,A graph showing the front and back of the x-axis
20220407_030629,5,598.jpg,Sofia University building,The Rectorate of Sofia University,An aerial view of a city .
20220407_030629,5,599.jpg,Bulgarian Kuker,Kuker in Lesichovo,A photograph of a group of people standing outside of a crowd
20220407_030629,5,600.jpg,"Christo's Mastaba installation in Hyde Park, London","Christo's Mastaba in Hyde Park, London",A photograph of a small harbour on a river
20220407_030629,5,601.jpg,Grigor Dimitrov in 2017,Grigor Dimitrov at the 2015 Italian Open,An image of a man holding a tennis racket
20220407_030629,5,740.jpg,Overhead diagram of movement of forces at Battle of Waterloo,"British (red) and French (blue) armies begin engagement of the decisive Battle of Waterloo, with Prussian forces (gray) arriving from the northeast",A map of the district with various types of military units indicated
20220407_030629,5,760.jpg,Interior of huge aircraft factory where rows of bombers are being assembled,North American B-25 Mitchell production in Kansas City in 1942,A yellow and yellow photograph of a yellow and yellow photograph of a large tank
20220407_030629,5,761.jpg,"Black and white photo of an early bomber parked perpendicular to the camera, facing left, rearward of the wing is a star in front of horizontal stripes.",Late war development B-25J2 Mitchell strafer bomber,A single-engined monoplane parked on a runway
20220407_030629,5,762.jpg,B-25 Engine Assembly,The B-25 engine cowling assembly,A picture of a man wearing a white uniform and a helmet .
20220407_030629,5,794.jpg,Line graph,"Rail usage in Great Britain, 18302019",A graph showing the highest and average growth in 1960
20220407_030629,5,795.jpg,Underground train in a station,The Waterloo & City line was part of Network SouthEast.,A dark train with a red stripe on the side
20220407_030629,5,808.jpg,"scan of early 19th century page of text, giving ingredients as in the adjoining paragraph to this image","Mrs Rundell's recipe, 1806",A title page of an English book
20220407_030629,5,810.jpg,BASE jump on Bridge Day,"A BASE jumper makes a legal jump on Bridge Day at the New River Gorge Bridge in Fayetteville, West Virginia.",A view of the bridge from the side of a bridge
